Duplicate_group_id,Group_size,Species_key,New_distribution_province,Source_row,Source_publication_year,Resolution_status,Retained_source_row,Source_citation
DUP034,2,Kurixalus inexpectatus,浙江,997,2024,retained；同最早年多条，保留行序最先者，需人工裁定,997,"Dallin B. Kohler and Xiaoli Zhang and Kevin R. Messenger and Kenneth Chin Yu An and Deyatima Ghosh and Siti N. Othman and Zhenqi Wang and Hina Amin and Vishal Kumar Prasad and Zhichao Wu and Amaël Borzée (2024). At home in Jiangsu: Environmental niche modeling and new records for five species of amphibian and reptile in Jiangsu, China Life Science https://doi.org/10.3897/herpetozoa.37.e117370"
DUP034,2,Kurixalus inexpectatus,浙江,1528,2024,removed_later_duplicate,997,"Dallin B. Kohler and Xiaoli Zhang and Kevin R. Messenger and Kenneth Chin Yu An and Deyatima Ghosh and Siti N. Othman and Zhenqi Wang and Hina Amin and Vishal Kumar Prasad and Zhichao Wu and Amaël Borzée (2024). At home in Jiangsu: Environmental niche modeling and new records for five species of amphibian and reptile in Jiangsu, China Life Science https://doi.org/10.3897/herpetozoa.37.e117370"
DUP035,2,Laudakia stoliczkana,甘肃,1750,2016,retained；同最早年多条，保留行序最先者，需人工裁定,1750,"赵海斌、龚大洁、李晓军、李万江、刘开明 (2016). 甘肃马鬃山发现新疆岩蜥 干旱区研究, 33(2), 431-433 https://doi.org/10.13866/j.azr.2016.02.27"
DUP035,2,Laudakia stoliczkana,甘肃,1751,2016,removed_later_duplicate,1750,"赵海斌、龚大洁、李晓军、李万江、刘开明 (2016). 甘肃马鬃山发现新疆岩蜥 干旱区研究, 33(2), 431-433 https://doi.org/10.13866/j.azr.2016.02.27"
DUP036,2,Liurana alpina,西藏,1593,2016,retained；同最早年多条，保留行序最先者，需人工裁定,1593,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
DUP036,2,Liurana alpina,西藏,2144,2016,removed_later_duplicate,1593,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
DUP037,2,Liurana medogensis,西藏,2143,2016,retained；同最早年多条，保留行序最先者，需人工裁定,2143,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
DUP037,2,Liurana medogensis,西藏,2187,2016,removed_later_duplicate,2143,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
DUP038,2,Liurana xizangensis,西藏,1592,2016,retained；同最早年多条，保留行序最先者，需人工裁定,1592,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
DUP038,2,Liurana xizangensis,西藏,2186,2016,removed_later_duplicate,1592,"Fang YAN and Ke JIANG and Kai WANG and Jie-Qiong JIN and Chatmongkon SUWANNAPOOM and Cheng LI and Jens V. VINDUM and Rafe M. BROWN and Jing CHE (2016). The Australasian frog family Ceratobatrachidae in China, Myanmar and Thailand: discovery of a new Himalayan forest frog clade ZOOLOGICAL RESEARCH, 37(1), 7-14 https://doi.org/10.13918/j.issn.2095-8137.2016.1.7"
